Date,tweet_id,text,name
Tue Jan 19 13:20:21 +0000 2021,1351519871176159238,"US Treasury Secretary Nominee Janet Yellen is going to tell lawmakers today that they must ""act big"" to prevent a market correction.

If there is one person in the world who is ready to weaken the dollar and prop up asset prices, you're about to watch her take center stage.",APompliano
Tue Jan 19 13:15:20 +0000 2021,1351518608669761543,"New episode with  co-founder Everett Cook is live!

We discuss the rise of fintechs, how Rho has navigated the pandemic, why they focus on high growth businesses, and how macro trading helped his as a founder.

Enjoy!

",APompliano
Tue Jan 19 12:48:42 +0000 2021,1351511905857318912,Good morning to everyone except the people who believe they’re smarter than the free market,APompliano
Tue Jan 19 12:36:08 +0000 2021,1351508741338898432, Trying to keep up with you!,APompliano
Tue Jan 19 01:50:45 +0000 2021,1351346327351926786, 👀👀,APompliano
Tue Jan 19 01:48:09 +0000 2021,1351345669798326278, 😂,APompliano
Tue Jan 19 01:47:54 +0000 2021,1351345607231885313, 👀👀🔥🔥🔥,APompliano
Tue Jan 19 01:47:14 +0000 2021,1351345439648448513, 👀👀👀👀,APompliano
Tue Jan 19 01:47:05 +0000 2021,1351345403002814464, 🔥🔥🔥🔥,APompliano
Tue Jan 19 01:47:00 +0000 2021,1351345381859319813," UNPOPULAR OPINION

Despite sitting out the last two weeks for personal reasons, Kyrie Irving has done nothing wrong.

Her…",APompliano
Tue Jan 19 01:34:15 +0000 2021,1351342172889612294,"Tomorrow I'm going on the legend 's podcast to explain Bitcoin and answer his questions.

What do you think is important that we cover?",APompliano
Tue Jan 19 01:22:04 +0000 2021,1351339108036210693,REMINDER: President Trump should pardon Edward Snowden and Julian Assange in his final hours.,APompliano
Tue Jan 19 01:17:25 +0000 2021,1351337939125624834,:),APompliano
Tue Jan 19 01:08:01 +0000 2021,1351335570065252353," My conversation with  is now on YouTube.

He is the author of Bitcoin and Black America, which breaks down how B…",APompliano
Tue Jan 19 01:07:18 +0000 2021,1351335392876879879, ,APompliano
Tue Jan 19 00:55:24 +0000 2021,1351332396092817409,"  Both of those statements are true. Just because tether isn’t backed 1-to-1 doesn’t mean there is any impact on Bitcoin.

It is likely that it wasn’t backed 1-to-1 years ago and is now backed fully too.",APompliano
Tue Jan 19 00:19:48 +0000 2021,1351323435855704066," You still? You wrote this in 2013 and still are running around spewing inaccurate information.

You sound like someone we should all be listening to :) 

",APompliano
Tue Jan 19 00:05:41 +0000 2021,1351319884244910082, Joe spends all his time tweeting misinformation about Bitcoin and mocking Bitcoiners but then acts shocked when the market proves that he has been wrong about Bitcoin since 2013 :),APompliano
Mon Jan 18 23:05:13 +0000 2021,1351304668006273024,  🔥🔥🔥🔥,APompliano
Mon Jan 18 22:58:08 +0000 2021,1351302883841597440," Who cares what my opinion is. The market says you’re wrong and that is all that ultimately matters :)

Hope you’re doing well though!",APompliano
Mon Jan 18 21:13:56 +0000 2021,1351276662370021379,"Stop asking me about the dumb tether article that everyone keeps sharing.

That article is an intelligence test.

If you read it &amp; fall for it, you failed 😜",APompliano
Mon Jan 18 21:08:23 +0000 2021,1351275266845396993," Have the goldfish read the daily letter I write to 115,000 investors to explain Bitcoin and finance in simple terms:

",APompliano
Mon Jan 18 20:51:50 +0000 2021,1351271099678519298,Build the systems you want the world to run on.,APompliano
Mon Jan 18 20:39:04 +0000 2021,1351267888120868873,   👀👀👀,APompliano
Mon Jan 18 20:35:05 +0000 2021,1351266884289785856,"My conversation with  is now on YouTube.

He is the author of Bitcoin and Black America, which breaks down how Bitcoin can be one of the great equalizers for the black community.

Decentralization and pseudonymity will create a better world.

",APompliano
Mon Jan 18 20:28:48 +0000 2021,1351265306140930050, 👀,APompliano
Mon Jan 18 20:23:03 +0000 2021,1351263856060936192, 🔥🔥🔥🔥,APompliano
Mon Jan 18 19:28:07 +0000 2021,1351250031479836674,The simplest way to understand how well informed someone is on a topic is to ask them to explain the counter argument to their belief.,APompliano
Mon Jan 18 18:03:21 +0000 2021,1351228699870453771,"It is so obvious that we are going to live in a decentralized, digital world that is run on clean energy and has everyone being shuttled around in autonomous, electric vehicles.",APompliano
Mon Jan 18 17:49:05 +0000 2021,1351225111752437760," New episode with  is live!

We discuss Bitcoin, the plight of black Americans in the legacy financial system, wh…",APompliano
